Module,Rank,Taxon,ASV_count,Degree_sum,Mean_relative_abundance_pct_sum,Percent_nodes_within_module,Percent_degree_within_module,Percent_abundance_within_module
2,Class,Unclassified class,4,57,0.07163913504486533,3.4188034188034186,2.0349875044626917,0.3195370196567672
2,Class,Kiritimatiellae,2,39,0.05140528320349925,1.7094017094017093,1.3923598714744734,0.2292865621447161
2,Class,Acidimicrobiia,1,28,0.0511489070662086,0.8547008547008547,0.9996429846483399,0.22814302981745305
2,Class,Bdellovibrionia,2,23,0.02328179195132509,1.7094017094017093,0.8211353088182792,0.10384539690123662
2,Class,Bacilli,1,24,0.01185565537748895,0.8547008547008547,0.8568368439842913,0.05288060475643708
3,Class,Gammaproteobacteria,12,330,4.169552190388025,19.672131147540984,21.596858638743456,51.169128834474165
3,Class,Alphaproteobacteria,24,621,1.9963753814723222,39.34426229508197,40.6413612565445,24.49970270956682
3,Class,Bacteroidia,12,326,1.5880507515586946,19.672131147540984,21.335078534031414,19.488705211441005
3,Class,Phycisphaerae,3,98,0.2052890173276962,4.918032786885246,6.4136125654450264,2.5193257444190724
3,Class,Planctomycetes,5,91,0.12358142208595928,8.19672131147541,5.955497382198953,1.5166026037140217
3,Class,OM190,2,22,0.03515558097021929,3.278688524590164,1.4397905759162304,0.43143253034770923
3,Class,Actinobacteria,1,19,0.01695797022512252,1.639344262295082,1.243455497382199,0.20810977380756068
3,Class,KD4-96,1,8,0.00830047648211672,1.639344262295082,0.5235602094240838,0.10186421253583768
3,Class,Rhodothermia,1,13,0.005307031493289358,1.639344262295082,0.8507853403141361,0.06512837969380676
4,Class,Alphaproteobacteria,35,107,1.7642393099203388,28.225806451612904,24.941724941724942,54.17620197505265
4,Class,Gammaproteobacteria,36,139,1.0026089174097,29.032258064516128,32.4009324009324,30.788081246205426
4,Class,Bacteroidia,20,72,0.24835306892208542,16.129032258064516,16.783216783216783,7.626417769624803
4,Class,Cyanobacteriia,4,10,0.039337548644613654,3.225806451612903,2.331002331002331,1.20797613373113
4,Class,Verrucomicrobiae,3,14,0.03607849134097588,2.4193548387096775,3.2634032634032635,1.1078971105865187
4,Class,Planctomycetes,5,13,0.025374978561750475,4.032258064516129,3.0303030303030303,0.7792139966182353
4,Class,Bdellovibrionia,3,23,0.0249290680916113,2.4193548387096775,5.361305361305361,0.7655209927512365
4,Class,Unclassified class,7,13,0.024288765648040955,5.645161290322581,3.0303030303030303,0.745858606637896
4,Class,OM190,3,4,0.024084247099457542,2.4193548387096775,0.9324009324009324,0.7395782578590222
4,Class,Rhodothermia,2,12,0.022440959435078137,1.6129032258064515,2.797202797202797,0.6891162349872209
4,Class,Phycisphaerae,1,2,0.018704995057712018,0.8064516129032258,0.4662004662004662,0.5743923653048659
4,Class,Acidimicrobiia,1,11,0.009517626388230753,0.8064516129032258,2.5641025641025643,0.29226695416687115
4,Class,Hydrogenedentia,1,5,0.006933234667206983,0.8064516129032258,1.1655011655011656,0.21290553926496672
4,Class,Actinobacteria,1,1,0.004811889491520764,0.8064516129032258,0.2331002331002331,0.14776334225657475
4,Class,Fusobacteriia,1,1,0.002817896342702989,0.8064516129032258,0.2331002331002331,0.08653186704808916
4,Class,Desulfuromonadia,1,2,0.0019629306133725237,0.8064516129032258,0.4662004662004662,0.060277607904499986
1,Family,Clade I,14,309,15.252343759522256,9.090909090909092,6.450939457202505,24.8036993807759
1,Family,Cyanobiaceae,9,471,12.233578180611078,5.8441558441558445,9.832985386221294,19.894515907016313
1,Family,AEGEAN-169 marine group,8,323,10.994181894622418,5.194805194805195,6.74321503131524,17.87898220439304
1,Family,SAR86 clade,13,482,6.310462613082198,8.441558441558442,10.062630480167014,10.2622141276351
1,Family,Clade IV,5,219,5.289194862467462,3.2467532467532467,4.572025052192067,8.60140588249478
1,Family,Clade II,7,107,2.540557509781073,4.545454545454546,2.233820459290188,4.131510915680815
1,Family,SAR116 clade,4,144,1.8054376770038563,2.5974025974025974,3.0062630480167014,2.9360427549485486
1,Family,Halomonadaceae,3,50,1.5633352636385762,1.948051948051948,1.0438413361169103,2.542330445866627
1,Family,Rhodobacteraceae,9,293,1.0067526573623427,5.8441558441558445,6.116910229645094,1.6372034788701217
1,Family,Flavobacteriaceae,16,602,0.7435547163260224,10.38961038961039,12.5678496868476,1.209185155258161
1,Family,KI89A clade,1,15,0.5208094697070281,0.6493506493506493,0.31315240083507306,0.8469518996521138
1,Family,Ectothiorhodospiraceae,2,80,0.49298622589481944,1.2987012987012987,1.6701461377870563,0.8017051240616275
1,Family,Thiotrichaceae,2,95,0.3824845633756867,1.2987012987012987,1.9832985386221293,0.622004871994507
1,Family,Actinomarinaceae,3,69,0.36342364041882624,1.948051948051948,1.4405010438413361,0.5910075767331193
1,Family,Porticoccaceae,3,82,0.32141397622552187,1.948051948051948,1.7118997912317329,0.5226905299784174
1,Family,Parvibaculaceae,2,61,0.23989094314802417,1.2987012987012987,1.2734864300626305,0.39011596721321007
1,Family,S25-593,6,147,0.2352507285367883,3.896103896103896,3.068893528183716,0.38256994739527067
1,Family,Halieaceae,2,58,0.1795150554206073,1.2987012987012987,1.210855949895616,0.291931360791434
1,Family,Puniceicoccaceae,4,133,0.15534991911532392,2.5974025974025974,2.776617954070981,0.25263348068448205
1,Family,Nisaeaceae,1,50,0.11988948201555535,0.6493506493506493,1.0438413361169103,0.19496693214603483
1,Family,Unclassified family,5,152,0.11712301571370938,3.2467532467532467,3.173277661795407,0.1904680433470465
