Sample_1,Sample_2,bNTI,RC_BC,Mechanism,Pair_A,Pair_B,module_bray,Zone_1,Temp_1,Lon_1,Zone_2,Temp_2,Lon_2,module_similarity,temp_diff,lon_diff,zone_pair,temp_bin,pair_key,back_ab,back_ba,fwd_ab,fwd_ba,bmin_ab,bmin_ba,fmin_ab,fmin_ba,bi_connectivity_mean,bi_connectivity_max,bi_connected,bi_min_travel_days,directed_link_count,tina_dist,pina_dist,bray,bray_similarity,tina_similarity
eDNA19,eDNA4,-1.9753807878331,1,Dispersal Limitation,eDNA19,eDNA4,0.6057364433108838,ANC,20.126926481723785,-32.055683,ANW,27.20014037936926,-74.85995,0.39426355668911617,7.0732138976454735,42.804267,ANC-ANW,"[6,8)",eDNA19__eDNA4,0.02040816326530612,0,0,0,255.25,NA,NA,NA,0.00510204081632653,0.02040816326530612,TRUE,255.25,1,0.330956746586981,3.8502852842292e-4,0.707270101107366,0.292729898892634,0.6690432534130191
eDNA25,eDNA4,-1.92391819601449,1,Dispersal Limitation,eDNA25,eDNA4,0.5692023714274771,ANE,19.737266153097153,-17.887783,ANW,27.20014037936926,-74.85995,0.4307976285725229,7.462874226272106,56.972167,ANE-ANW,"[6,8)",eDNA25__eDNA4,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.313118780067249,4.7280078519174e-4,0.6875,0.3125,0.686881219932751
eDNA26,eDNA4,-1.84437168368296,0.99,Dispersal Limitation,eDNA26,eDNA4,0.5653781278452119,ANE,20.25656910985708,-14.5402,ANW,27.20014037936926,-74.85995,0.4346218721547881,6.94357126951218,60.31975,ANE-ANW,"[6,8)",eDNA26__eDNA4,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.308139147125688,0.00066214704038558005,0.679667186687468,0.32033281331253205,0.691860852874312
eDNA27,eDNA4,-1.929662580091,1,Dispersal Limitation,eDNA27,eDNA4,0.5303710587014971,ANE,20.502670370042324,-11.687733,ANW,27.20014037936926,-74.85995,0.46962894129850286,6.697470009326935,63.172217,ANE-ANW,"[6,8)",eDNA27__eDNA4,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.313875520474054,8.5212114988864e-4,0.694181326116374,0.30581867388362605,0.686124479525946
eDNA28,eDNA4,-1.82956149145201,1,Dispersal Limitation,eDNA28,eDNA4,0.5368738389403985,ANE,21.50245673954487,-7.874533,ANW,27.20014037936926,-74.85995,0.4631261610596014,5.69768363982439,66.985417,ANE-ANW,"[4,6)",eDNA28__eDNA4,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.29693033994617,0.00108281789449727,0.690721649484536,0.30927835051546404,0.70306966005383
eDNA3,eDNA4,-4.30867110854336,0.37,Homogeneous Selection,eDNA3,eDNA4,0.0743636743723761,ANW,26.101474039256573,-75.508383,ANW,27.20014037936926,-74.85995,0.925636325627624,1.0986663401126862,0.6484329999999972,ANW-ANW,"[1,2)",eDNA3__eDNA4,0.14285714285714285,0,0.6326530612244898,0.7551020408163265,16.75,NA,12.5,14,0.3826530612244898,0.7551020408163265,TRUE,12.5,3,0.0333104439027413,8.174504927817e-4,0.365504061156235,0.634495938843765,0.9666895560972587
eDNA1,eDNA6,-3.7358411726603,1,Homogeneous Selection,eDNA1,eDNA6,0.21492668483811336,ANW,26.81560716032982,-77.936917,ANW,24.7383953332901,-69.329683,0.7850733151618866,2.077211827039718,8.607233999999991,ANW-ANW,"[2,4)",eDNA1__eDNA6,0,0,0.08163265306122448,0.10204081632653061,NA,NA,235.75,149,0.04591836734693877,0.10204081632653061,TRUE,149,2,0.278614760105617,0.00409369122402203,0.609774157719363,0.39022584228063695,0.721385239894383
eDNA18,eDNA6,-2.32472929484582,0.83,Homogeneous Selection,eDNA18,eDNA6,0.6078016954258763,ANC,21.02490310370922,-34.595667,ANW,24.7383953332901,-69.329683,0.39219830457412375,3.713492229580879,34.734016000000004,ANC-ANW,"[2,4)",eDNA18__eDNA6,0,0,0,0.02040816326530612,NA,NA,NA,340.75,0.00510204081632653,0.02040816326530612,TRUE,340.75,1,0.293195869413207,0.00113518571801841,0.70166270783848,0.29833729216152005,0.7068041305867929
eDNA19,eDNA6,-2.5791122822446,1,Homogeneous Selection,eDNA19,eDNA6,0.5996621501818039,ANC,20.126926481723785,-32.055683,ANW,24.7383953332901,-69.329683,0.4003378498181961,4.611468851566315,37.274,ANC-ANW,"[4,6)",eDNA19__eDNA6,0,0,0,0.02040816326530612,NA,NA,NA,352,0.00510204081632653,0.02040816326530612,TRUE,352,1,0.306136152532,0.00145579934200513,0.733451015004413,0.266548984995587,0.693863847468
eDNA25,eDNA6,-1.76321278753799,0.98,Dispersal Limitation,eDNA25,eDNA6,0.5627015188873778,ANE,19.737266153097153,-17.887783,ANW,24.7383953332901,-69.329683,0.43729848111262215,5.001129180192947,51.4419,ANE-ANW,"[4,6)",eDNA25__eDNA6,0,0,0,0,NA,NA,NA,NA,0,0,FALSE,NA,0,0.268031539701952,4.8993876658487e-4,0.653432975245212,0.34656702475478796,0.7319684602980481
